"accept_language","http_user_agent","http_method",status,"_tc","len_al","len_ua"
"en-us,en;q=0.6","Mozilla/5.0 (X11; Linux i686 on x86_64; rv:38.0) Gecko/20100101 Firefox/38.0",GET,200,590479,14,76
"en-us,en;q=0.6","Mozilla/5.0 (X11; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2294.89 Safari/537.36",GET,200,590479,14,112
"en-us,en;q=0.6","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:33.0) Gecko/20100101 Firefox/33.0",GET,200,590479,14,72
"en-us,en;q=0.6","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1928.64 Safari/537.36",GET,200,590479,14,108
"en-us,en;q=0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1828.2 Safari/537.36",GET,200,590479,14,113
"en-us,en;q=0.6","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2213.96 Safari/537.36",GET,200,590479,14,109
"en-us,en;q=0.6","Mozilla/5.0 (SymbianOS/9.4  U  Series60/5.0 Nokia5800d-1/40.0.005  Proxxx/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/413 (KHTML, like Gecko) Safari/413",GET,404,590479,14,154
"en-us,en;q=0.6","Mozilla/5.0 (SymbianOS/9.4  U  Series60/5.0 Nokia5800d-1/40.0.005  Proxxx/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/413 (KHTML, like Gecko) Safari/413",GET,200,590479,14,154
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2482.16 Safari/537.36",GET,200,590479,14,119
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1701.96 Safari/537.36",GET,301,590479,14,120
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2231.91 Safari/537.36",GET,200,590479,14,120
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1925.31 Safari/537.36",GET,200,590479,14,120
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:43.0) Gecko/20100101 Firefox/43.0",GET,200,590479,14,81
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:38.0) Gecko/20100101 Firefox/38.0",GET,200,590479,14,81
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:41.0) Gecko/20100101 Firefox/41.0",POST,200,590479,14,82
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:41.0) Gecko/20100101 Firefox/41.0",GET,200,590479,14,82
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:33.0) Gecko/20100101 Firefox/33.0",GET,200,590479,14,82
"en-us,en;q=0.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0",GET,200,590479,14,82
"en-us,en;q=0.6","Mozilla/4.0 (compatible  MSIE 7.0  Windows NT 5.1  .NET CLR 1.1.4322  .NET CLR 2.0.50727  .NET CLR 3.0.04506.648  .NET CLR 3.5.21022  InfoPath.1)",GET,301,590479,14,145
"en-us,en;q=0.6","Mozilla/4.0 (compatible  MSIE 7.0  Windows NT 5.1  .NET CLR 1.1.4322  .NET CLR 2.0.50727  .NET CLR 3.0.04506.648  .NET CLR 3.5.21022  InfoPath.1)",GET,200,590479,14,145
"en-us,en;q=0.5","yacybot (-global; amd64 Windows 7 6.1; java 1.8.0_45; America/en) http://yacy.net/bot.html",GET,301,590479,14,90
"en-us,en;q=0.5","Mozilla/5.0 (iPad  U  CPU OS 4_3_1 like Mac OS X  tr-tr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8G4 Safari/6533.18.5",GET,301,590479,14,139
"en-us,en;q=0.5","Mozilla/5.0 (iPad  U  CPU OS 4_3_1 like Mac OS X  tr-tr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8G4 Safari/6533.18.5",GET,200,590479,14,139
"en-us,en;q=0.5","Mozilla/5.0 (compatible; spbot/5.0.3; +http://OpenLinkProfiler.org/bot )",GET,403,590479,14,72
"en-us,en;q=0.5","Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)",GET,403,590479,14,75
"en-us,en;q=0.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0",GET,500,590479,14,76
"en-us,en;q=0.5","Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/532.9 (KHTML, like Gecko) Chrome/5.0.307.7 Safari/532.9",GET,200,590479,14,109
"en-us,en;q=0.5","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1767.15 Safari/537.36",GET,200,590479,14,102
"en-us,en;q=0.5","Mozilla/5.0 (X11; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2096.3 Safari/537.36",GET,200,590479,14,111
"en-us,en;q=0.5","Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.0.11) Gecko/2009060215 Firefox/3.0.11",GET,500,590479,14,92
"en-us,en;q=0.5","Mozilla/5.0 (Windows; U; Windows NT 5.1; pt-PT; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 (.NET CLR 3.5.30729)",GET,200,590479,14,109
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.3; rv:27.0) Gecko/20100101 Firefox/27.0",GET,200,590479,14,65
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0",GET,200,590479,14,72
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.2; rv:48.0) Gecko/20100101 Firefox/48.0",GET,404,590479,14,65
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:33.0) Gecko/20100101 Firefox/33.0",GET,200,590479,14,77
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1980.20 Safari/537.36",GET,200,590479,14,113
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0",GET,301,590479,14,63
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 5.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0",GET,200,590479,14,72
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2461.28 Safari/537.36",GET,200,590479,14,101
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2538.70 Safari/537.36",GET,301,590479,14,120
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2538.70 Safari/537.36",GET,200,590479,14,120
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:38.0) Gecko/20100101 Firefox/38.0",GET,200,590479,14,81
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:37.0) Gecko/20100101 Firefox/37.0",GET,200,590479,14,81
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:39.0) Gecko/20100101 Firefox/39.0",GET,200,590479,14,81
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:29.0) Gecko/20100101 Firefox/29.0",GET,200,590479,14,82
"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:42.0) Gecko/20100101 Firefox/42.0",GET,404,590479,14,82
"en-us,en;q=0.5","Mechanize/2.7.5 Ruby/2.3.0p0 (http://github.com/sparklemotion/mechanize/)",GET,301,590479,14,73
"en-us,en-gb,en;q=0.7,*;q=0.3",spiderman,GET,200,590479,28,9
"en-us,en-gb,en;q=0.7,*;q=0.3","SafeDNSBot (https://www.safedns.com/searchbot)",GET,403,590479,28,46
"en-us,en-gb,en;q=0.7,*;q=0.3","SafeDNSBot (https://www.safedns.com/searchbot)",GET,302,590479,28,46
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/9.80 (Windows NT 6.1; WOW64; U; pt) Presto/2.10.229 Version/11.62",GET,404,590479,28,71
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/9.80 (Windows NT 6.0; U; pl) Presto/2.10.229 Version/11.62",GET,200,590479,28,64
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/9.80 (Windows NT 6.0; U; en) Presto/2.8.99 Version/11.10",GET,301,590479,28,62
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/9.80 (Windows NT 6.0) Presto/2.12.388 Version/12.14",GET,200,590479,28,57
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; en) Presto/2.9.168 Version/11.52",GET,301,590479,28,81
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/12.80 (Windows NT 5.1; U; en) Presto/2.10.289 Version/12.02",GET,404,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/12.80 (Windows NT 5.1; U; en) Presto/2.10.289 Version/12.02",GET,200,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/12.0(Windows NT 5.2;U;en)Presto/22.9.168 Version/12.00",GET,200,590479,28,60
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/12.0(Windows NT 5.1;U;en)Presto/22.9.168 Version/12.00",GET,301,590479,28,60
"en-us,en-gb,en;q=0.7,*;q=0.3","Opera/12.0(Windows NT 5.1;U;en)Presto/22.9.168 Version/12.00",GET,200,590479,28,60
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0)",GET,404,590479,28,83
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; de) Opera 11.51",GET,200,590479,28,66
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; Media Center PC 6.0)",GET,404,590479,28,151
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET CLR 1.1.4322; .NET4.0C; Tablet PC 2.0)",GET,200,590479,28,207
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0) chromeframe/10.0.648.205",GET,200,590479,28,88
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0) Opera 12.14",GET,301,590479,28,62
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)",GET,301,590479,28,71
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)",GET,301,590479,28,64
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)",GET,200,590479,28,64
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (compatible; MSIE 10.0; Macintosh; Intel Mac OS X 10_7_3; Trident/6.0)",GET,301,590479,28,82
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0",GET,404,590479,28,76
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",GET,404,590479,28,105
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",GET,200,590479,28,105
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US)",GET,200,590479,28,57
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",GET,404,590479,28,107
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",GET,301,590479,28,107
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/23.0",GET,200,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.17 Safari/537.36",GET,200,590479,28,108
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; rv:27.3) Gecko/20130101 Firefox/27.3",GET,404,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0",GET,200,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:23.0) Gecko/20131011 Firefox/23.0",GET,404,590479,28,77
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",GET,404,590479,28,72
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36",GET,404,590479,28,107
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36",GET,200,590479,28,107
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0",GET,404,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130401 Firefox/21.0",GET,404,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130331 Firefox/21.0",GET,200,590479,28,65
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36",GET,200,590479,28,100
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36",GET,200,590479,28,101
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.3319.102 Safari/537.36",GET,301,590479,28,102
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2117.157 Safari/537.36",GET,200,590479,28,102
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",GET,404,590479,28,118
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36",GET,404,590479,28,118
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.13+ (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",GET,200,590479,28,116
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0",GET,200,590479,28,81
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0",GET,200,590479,28,81
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/5.0 (Linux; U; Android 2.3; en-us) AppleWebKit/999+ (KHTML, like Gecko) Safari/999.9",GET,404,590479,28,92
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0; GTB7.4; InfoPath.3; SV1; .NET CLR 3.4.53360; WOW64; en-US)",GET,200,590479,28,122
"en-us,en-gb,en;q=0.7,*;q=0.3","Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; OfficeLiveConnector.1.4; OfficeLivePatch.1.3; .NET4.0C)",GET,404,590479,28,246
"en-us","UCWEB/2.0 (MIDP-2.0; U; Adr 4.4.4; en-US; HTC_Desire_626_dual_sim) U2/1.0.0 UCBrowser/10.6.8.732 U2/1.0.0 Mobile",GET,200,590479,5,112
"en-us","UCWEB/2.0 (Linux; U; Opera Mini/7.1.32052/30.3697; en-US; itel it1507 Build/LMY47D) U2/1.0.0 UCBrowser/10.7.9.856 Mobile",GET,200,590479,5,120
"en-us","Mozilla/5.0 (iPod; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/22.0.141836113 Mobile/14C92 Safari/600.1.4",GET,200,590479,5,139
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G36 Instagram 10.3.0 (iPhone7,2; iPhone OS 9_3_5; en_US; en-US; scale=2.00; gamut=normal; 750x1334)",GET,200,590479,5,205
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 Twitter for iPhone",GET,301,590479,5,128
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G35 Twitter for iPhone",GET,200,590479,5,128
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13E233",GET,200,590479,5,108
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 Twitter for iPhone",GET,301,590479,5,128
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 Twitter for iPhone",GET,200,590479,5,128
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H321 [Pinterest/iOS]",GET,200,590479,5,125
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B466",GET,200,590479,5,109
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B435 Safari/600.1.4",GET,200,590479,5,136
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Mobile/11D257",GET,200,590479,5,110
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",POST,302,590479,5,134
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/MessengerForiOS;FBAV/100.1.0.36.68;FBBV/46154306;FBRV/0;FBDV/iPhone5,3;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/MetroPCS;FBID/phone;FBLC/en_US;FBOP/5]",GET,200,590479,5,267
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/75.0.0.48.61;FBBV/45926345;FBRV/0;FBDV/iPhone8,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/3;FBCR/mt:s;FBID/phone;FBLC/en_US;FBOP/5]",GET,301,590479,5,252
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/59.0.0.51.142;FBBV/33266808;FBRV/0;FBDV/iPhone7,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/10.2;FBSS/3;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",GET,301,590479,5,262
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/59.0.0.51.142;FBBV/33266808;FBRV/0;FBDV/iPhone7,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/10.2;FBSS/3;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",GET,200,590479,5,262
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/19.0.133715217 Mobile/14C92 Safari/600.1.4",GET,200,590479,5,141
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B100",GET,200,590479,5,111
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/14B150 Safari/602.1",GET,200,590479,5,143
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B72",GET,200,590479,5,108
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/22.0.141836113 Mobile/14B72c Safari/600.1.4",GET,200,590479,5,142
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",GET,301,590479,5,137
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Mobile/14A456 [FBAN/FBIOS;FBAV/68.0.0.49.70;FBBV/41924288;FBRV/0;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/10.0.2;FBSS/2;FBCR/AT&T;FBID/phone;FBLC/en_US;FBOP/5]",GET,200,590479,5,257
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Mobile/14A456 [FBAN/FBIOS;FBAV/67.0.0.49.70;FBBV/41277963;FBRV/0;FBDV/iPhone7,1;FBMD/iPhone;FBSN/iOS;FBSV/10.0.2;FBSS/3;FBCR/Sprint;FBID/phone;FBLC/en_US;FBOP/5]",GET,200,590479,5,259
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/50.0.2661.95 Mobile/14A456 Safari/601.1.46",GET,301,590479,5,143
"en-us","Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/52.0.2743.84 Mobile/13G36 Safari/601.1.46",GET,200,590479,5,132
"en-us","Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/21.4.141508723 Mobile/13G36 Safari/600.1.4",GET,200,590479,5,133
"en-us","Mozilla/5.0 (iPad; CPU OS 9_3_4 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/55.0.2883.79 Mobile/13G35 Safari/601.1.46",GET,200,590479,5,132
"en-us","Mozilla/5.0 (iPad; CPU OS 9_3_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/48.0.2564.104 Mobile/13E238 Safari/601.1.46",GET,200,590479,5,134
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",POST,200,590479,5,125
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",GET,500,590479,5,125
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92",GET,301,590479,5,99
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14C92 Twitter for iPhone",POST,200,590479,5,118
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/52.0.2743.84 Mobile/14C92 Safari/601.1.46",GET,200,590479,5,131
"en-us","Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/20.3.136880903 Mobile/14C92 Safari/600.1.4",GET,200,590479,5,132
"en-us","Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",POST,200,590479,5,128
